Date,Close/Last,Volume,Open,High,Low
03/31/2025,$102.74,30865340,$100.235,$102.82,$98.80
03/28/2025,$103.22,31069110,$105.525,$106.51,$102.48
03/27/2025,$106.65,32773710,$106.11,$107.62,$105.5499
03/26/2025,$110.19,39976490,$114.11,$115.8999,$108.68
03/25/2025,$114.81,29077510,$113.265,$114.95,$112.71
03/24/2025,$113.85,53342000,$109.73,$114.85,$109.40
03/21/2025,$106.44,30767940,$105.33,$107.25,$104.33
03/20/2025,$107.14,26871840,$105.12,$108.26,$105.12
03/19/2025,$106.23,32287500,$104.42,$107.90,$101.96
03/18/2025,$103.51,27152830,$103.85,$104.55,$102.97
03/17/2025,$104.59,43689520,$102.60,$106.15,$102.60
03/14/2025,$100.97,24715270,$99.64,$101.22,$99.58
03/13/2025,$98.11,28575150,$99.715,$100.07,$97.27
03/12/2025,$100.79,34241290,$99.045,$101.715,$98.17
03/11/2025,$96.76,34078300,$96.79,$98.1599,$94.73
03/10/2025,$96.63,38733190,$98.57,$101.29,$95.83
03/07/2025,$100.31,33254370,$98.88,$100.65,$96.39
03/06/2025,$98.85,28984980,$99.05,$101.08,$98.27
03/05/2025,$101.67,27855490,$100.36,$101.84,$98.87
03/04/2025,$100.75,54156940,$96.00,$103.18,$95.89
03/03/2025,$98.23,38957990,$101.515,$102.34,$97.09
